beta,rho_mc,rho_mmca
0.0,0.0,1.3142018418476388e-07
0.01,0.0,2.857849341646573e-07
0.02,0.0,0.047752587924167283
0.03,0.1395458,0.1623455519980624
0.04,0.24097359999999995,0.26359188842583253
0.05,0.3255528,0.34520592505354364
0.06,0.39358480000000007,0.4101265764912698
0.07,0.44836220000000027,0.46227569077253855
0.08,0.4925355999999999,0.5048112675155563
0.09,0.5295410000000002,0.5400472829447563
0.1,0.5614456,0.5696532144344539
0.11,0.5878433999999999,0.5948428516757656
0.12,0.6101574000000001,0.616512064229886
0.13,0.63074,0.6353332672261601
0.14,0.6477185999999999,0.6518195312380239
0.15,0.662892,0.6663684781575678
0.16,0.6764454000000001,0.6792926989992354
0.17,0.6880883999999999,0.6908412044922558
0.18,0.6993012000000001,0.7012146737766375
0.19,0.7088493999999999,0.7105766267406486
0.2,0.7175295999999999,0.7190616769049534
0.21,0.7255538,0.7267815319942748
0.22,0.7324328000000001,0.7338297684899997
0.23,0.7396834,0.7402853158033251
0.24,0.7453670000000001,0.7462152310130504
0.25,0.7511132000000003,0.7516768459415691
0.26,0.7558868000000001,0.7567194854363531
0.27,0.7607336000000001,0.7613857670047042
0.28,0.7654247999999998,0.7657127993399802
0.29,0.7698157999999999,0.7697329321568329
0.3,0.7733299999999999,0.7734746021243024
