beta,rho_mc,rho_mmca
0.0,0.0,1.2758098170666595e-07
0.01,0.0,2.0282091412850153e-07
0.02,0.0,4.642147027752887e-07
0.03,0.0,0.030956638307700252
0.04,0.1313512,0.20288309709047456
0.05,0.2713104,0.3205487139135007
0.06,0.36998859999999995,0.4047665327468117
0.07,0.44250080000000014,0.46780808604099455
0.08,0.49744539999999987,0.5167042668297777
0.09,0.5398466000000002,0.5557038115017988
0.1,0.5745682,0.5875120305773139
0.11,0.6044397999999999,0.6139300807118137
0.12,0.6287124000000001,0.6362028824910665
0.13,0.6486734000000003,0.655218410239523
0.14,0.6659120000000002,0.6716271621161481
0.15,0.6812534000000002,0.6859166444215345
0.16,0.6943314,0.6984595883959009
0.17,0.7063142,0.7095459135385263
0.18,0.7162672000000001,0.7194045612373335
0.19,0.7258988,0.7282188210395614
0.2,0.7343769999999998,0.7361371932556297
0.21,0.7419635999999997,0.7432812795938629
0.22,0.7485356,0.749751689740199
0.23,0.7543188,0.7556323548580686
0.24,0.7599598000000002,0.7609938857454572
0.25,0.7646769999999998,0.7658961160618621
0.26,0.7697141999999999,0.7703901156724335
0.27,0.7737783999999999,0.7745197166061746
0.28,0.7776995999999999,0.7783227804125213
0.29,0.7814308000000003,0.7818321799257149
0.3,0.7851804,0.7850765930380317
