beta,rho_mc,rho_mmca
0.0,0.0,6.533372385233766e-08
0.01,0.0,5.948449387104212e-08
0.02,0.0,8.522878078647317e-08
0.03,0.0,1.395554590159845e-07
0.04,0.0,2.3615531639550538e-07
0.05,0.0,5.524601952348187e-07
0.06,0.0,0.0299410776132358
0.07,0.009812800000000002,0.11977425662985083
0.08,0.1409776,0.19265307438007
0.09,0.2107426,0.25227509117552754
0.1,0.2709889999999999,0.30173948558890157
0.11,0.32080939999999997,0.3433402703652658
0.12,0.35845259999999995,0.3787579588578817
0.13,0.39551199999999986,0.40923677303099726
0.14,0.4235452,0.4357125637251031
0.15,0.44920060000000006,0.45890084213013826
0.16,0.4708186,0.4793571179602443
0.17,0.49175619999999987,0.497518852376033
0.18,0.507952,0.5137351460625398
0.19,0.5238952,0.528287852737496
0.2,0.538666,0.5414070168439814
0.21,0.5511487999999999,0.5532822583213534
0.22,0.5622966000000001,0.5640712672715512
0.23,0.5730830000000001,0.5739062756243909
0.24,0.5817354,0.5828989978027858
0.25,0.5904252,0.5911444703143764
0.26,0.5988996,0.5987240664337283
0.27,0.6054667999999999,0.6057078649386918
0.28,0.6127427999999999,0.6121565603523682
0.29,0.6192162000000001,0.6181229816388729
0.3,0.624585,0.6236533323669705
