beta,rho_mc,rho_mmca
0.0,0.0,6.664477672669575e-08
0.01,0.0,5.6118198551264914e-08
0.02,0.0,7.92540715532955e-08
0.03,0.0,2.145415719911972e-07
0.04,0.0,0.006641679653916875
0.05,0.0,0.031152614265834117
0.06,0.00821,0.06091930053522493
0.07,0.06715059999999999,0.09336784495065842
0.08,0.1079428,0.12657993563705996
0.09,0.1406096,0.15925926104921748
0.1,0.17334020000000003,0.19063524068135662
0.11,0.2010636,0.22030865283592835
0.12,0.23020780000000005,0.248117873435983
0.13,0.2561803999999999,0.2740434969783824
0.14,0.28224640000000006,0.2981461933222981
0.15,0.30506960000000005,0.3205281022688033
0.16,0.32635939999999997,0.3413097675728941
0.17,0.3469702,0.3606164950744534
0.18,0.36664220000000014,0.3785709934036435
0.19,0.3848265999999999,0.39528924932740406
0.2,0.40190939999999986,0.4108787758250317
0.21,0.41662459999999996,0.4254379429176434
0.22,0.43108279999999977,0.4390560603585516
0.23,0.44438060000000035,0.45181386807182766
0.24,0.4572913999999998,0.4637841470842245
0.25,0.4692264,0.47503238851381097
0.26,0.4806586000000001,0.4856175517685408
0.27,0.4907558000000001,0.4955927880997986
0.28,0.5014801999999999,0.505005951684683
0.29,0.5109546000000001,0.5139002250111527
0.3,0.5203144,0.5223146724861124
