beta,rho_mc,rho_mmca
0.0,0.0,6.803344653494582e-08
0.01,0.0,5.484819278118521e-08
0.02,0.0,1.4643003117092982e-07
0.03,0.0,0.004043204039860757
0.04,0.0,0.04927102286102015
0.05,0.08351699999999998,0.09915135772590948
0.06,0.13471,0.14923933513271928
0.07,0.1838176,0.19665843034980707
0.08,0.22584579999999996,0.24007512831224587
0.09,0.26778820000000003,0.2791675972890389
0.1,0.30315999999999993,0.31412050990478046
0.11,0.33554420000000007,0.3453199942716508
0.12,0.36428940000000004,0.37320137389096086
0.13,0.3902676000000001,0.3981824592754524
0.14,0.4141375999999999,0.42063856981276526
0.15,0.43521459999999995,0.44089664626112046
0.16,0.45491300000000023,0.45923742661880496
0.17,0.4724856000000001,0.47590053031035146
0.18,0.48776079999999994,0.4910901899815145
0.19,0.5023042000000001,0.5049805748078742
0.2,0.5160152000000001,0.5177207860998233
0.21,0.5285150000000001,0.5294386865264877
0.22,0.5394187999999999,0.5402445016542882
0.23,0.5496434000000001,0.5502335447199478
0.24,0.559373,0.5594886119205105
0.25,0.5678407999999999,0.568081914583993
0.26,0.5766449999999999,0.5760766565256324
0.27,0.5838719999999998,0.5835283833904965
0.28,0.5914374,0.5904860888002408
0.29,0.5984252,0.5969931331856915
0.3,0.6042568000000003,0.6030880217409917
